AC_No,AC_Name,District,Reserved,Sl_No,Candidate_Name,Party_Full,Party_Short,Alliance,Symbol
1,Gummidipoondi,Tiruvallur,GEN,1.0,T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,DMK,INDIA/SPA,Rising sun
1,Gummidipoondi,Tiruvallur,GEN,2.0,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,AIADMK,NDA,Two leaves
1,Gummidipoondi,Tiruvallur,GEN,3.0,M.JAGADEESAN,Bahujan Samaj Party,BSP,Solo,Elephant
1,Gummidipoondi,Tiruvallur,GEN,4.0,R.SRIDAR. B.L.,Naam Tamilar Katchi,NTK,Solo,Farmer Carrying Plough
1,Gummidipoondi,Tiruvallur,GEN,5.0,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,AJPK,-,Gas cylinder
1,Gummidipoondi,Tiruvallur,GEN,6.0,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,VTVTK,-,Pestle and mortar
1,Gummidipoondi,Tiruvallur,GEN,7.0,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,TVK,Solo,Whistle
1,Gummidipoondi,Tiruvallur,GEN,8.0,M.KUMARAN,Independent,IND,Independent,Diamond
1,Gummidipoondi,Tiruvallur,GEN,9.0,GOPAL.K,Independent,IND,Independent,Letter box
1,Gummidipoondi,Tiruvallur,GEN,10.0,T.GOVINDAN,Independent,IND,Independent,Ship
1,Gummidipoondi,Tiruvallur,GEN,11.0,A.H. SIVA GANESH,Independent,IND,Independent,Batsman
1,Gummidipoondi,Tiruvallur,GEN,12.0,D.SUDHAKAR,Independent,IND,Independent,Peas
1,Gummidipoondi,Tiruvallur,GEN,13.0,V.SUDHAKAR,Independent,IND,Independent,Water melon
1,Gummidipoondi,Tiruvallur,GEN,14.0,D.DINESH,Independent,IND,Independent,Road roller
1,Gummidipoondi,Tiruvallur,GEN,15.0,G.RANJITH B.SC.L.L.B,Independent,IND,Independent,Crane
2,Ponneri,Tiruvallur,SC,1.0,DURAI CHANDRASEKAR,Indian National Congress,INC,INDIA/SPA,Hand
2,Ponneri,Tiruvallur,SC,2.0,SANTHOSHKUMAR.J,Bahujan Samaj Party,BSP,Solo,Elephant
2,Ponneri,Tiruvallur,SC,3.0,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,AIADMK,NDA,Two leaves
2,Ponneri,Tiruvallur,SC,4.0,RAJATHI.M,Naam Tamilar Katchi,NTK,Solo,Farmer Carrying Plough
2,Ponneri,Tiruvallur,SC,5.0,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,DMSK,-,Football player
2,Ponneri,Tiruvallur,SC,6.0,RAJA.S,Vanchit Bahujan Aaghadi,VBA,-,Gas cylinder
2,Ponneri,Tiruvallur,SC,7.0,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,TVaK,-,Camera
2,Ponneri,Tiruvallur,SC,8.0,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,TMMK,-,Matchbox
2,Ponneri,Tiruvallur,SC,9.0,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,TVK,Solo,Whistle
2,Ponneri,Tiruvallur,SC,10.0,NAGAIYAN.G,Independent,IND,Independent,Batsman
2,Ponneri,Tiruvallur,SC,11.0,BARATHIRAJA.K,Independent,IND,Independent,Brush
2,Ponneri,Tiruvallur,SC,12.0,RAJASEKAR.J,Independent,IND,Independent,Pen drive
2,Ponneri,Tiruvallur,SC,13.0,VENKATESAN.S,Independent,IND,Independent,Water melon
3,Tiruttani,Tiruvallur,GEN,1.0,G.HARI,All India Anna Dravida Munnetra Kazhagam,AIADMK,NDA,Two leaves
3,Tiruttani,Tiruvallur,GEN,2.0,D.KRISHNAMURTHY,Desiya Murpokku Dravida Kazhagam,DMDK,INDIA/SPA,Nagara
3,Tiruttani,Tiruvallur,GEN,3.0,CHANDRAN .S.S,Naam Tamilar Katchi,NTK,Solo,Farmer Carrying Plough
3,Tiruttani,Tiruvallur,GEN,4.0,MUTHURAJ.G,Bahujan Samaj Party,BSP,Solo,Elephant
3,Tiruttani,Tiruvallur,GEN,5.0,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,TVK,Solo,Whistle
3,Tiruttani,Tiruvallur,GEN,6.0,BALAJI.A,Thakkam Katchi,TK,-,Matchbox
3,Tiruttani,Tiruvallur,GEN,7.0,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,TVaK,-,Camera
3,Tiruttani,Tiruvallur,GEN,8.0,KRISHNAMOORTHY.K,Independent,IND,Independent,Diamond
3,Tiruttani,Tiruvallur,GEN,9.0,KRISHNAMOORTHY.D,Independent,IND,Independent,Pestle and mortar
3,Tiruttani,Tiruvallur,GEN,10.0,KRISHNAMOORTHY.M,Independent,IND,Independent,Noodles bowl
3,Tiruttani,Tiruvallur,GEN,11.0,SHETTU.S,Independent,IND,Independent,Gas cylinder
3,Tiruttani,Tiruvallur,GEN,12.0,DR.A.V.NARENDRAN,Independent,IND,Independent,Bangles
3,Tiruttani,Tiruvallur,GEN,13.0,JAMBU.B,Independent,IND,Independent,Bucket
4,Thiruvallur,Tiruvallur,GEN,1.0,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,DMK,INDIA/SPA,Rising sun
4,Thiruvallur,Tiruvallur,GEN,2.0,K. SENTHILKUMAR,Naam Tamilar Katchi,NTK,Solo,Farmer Carrying Plough
4,Thiruvallur,Tiruvallur,GEN,3.0,BE VEE RAMANAH,All India Anna Dravida Munnetra Kazhagam,AIADMK,NDA,Two leaves
4,Thiruvallur,Tiruvallur,GEN,4.0,B. RAJESH KUMAR,Bahujan Samaj Party,BSP,Solo,Elephant
4,Thiruvallur,Tiruvallur,GEN,5.0,DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam,TVK,Solo,Whistle
4,Thiruvallur,Tiruvallur,GEN,6.0,E. MANI,Republican Party of India (Athawale),RPI(A),-,Ganna kisan
4,Thiruvallur,Tiruvallur,GEN,7.0,E. RAJARATHINAM,Tamizhaga Vaazhvurimai Katchi,TVaK,-,Camera
4,Thiruvallur,Tiruvallur,GEN,8.0,N. VENKATESAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,AJPK,-,Gas cylinder
4,Thiruvallur,Tiruvallur,GEN,9.0,E.KOTHANDAN,Independent,IND,Independent,Rubber stamp
4,Thiruvallur,Tiruvallur,GEN,10.0,N. NAGENDRABABU,Independent,IND,Independent,Cot
4,Thiruvallur,Tiruvallur,GEN,11.0,N. BALAKRISHNAN,Independent,IND,Independent,Diamond
4,Thiruvallur,Tiruvallur,GEN,12.0,R. RAMANAN,Independent,IND,Independent,Can
4,Thiruvallur,Tiruvallur,GEN,13.0,G. RAJENDIRAN,Independent,IND,Independent,Water tank
4,Thiruvallur,Tiruvallur,GEN,14.0,S. RAJENDRAN,Independent,IND,Independent,Plate stand
5,Poonamallee,Tiruvallur,SC,1.0,KRISHNASWAMY.A,Dravida Munnetra Kazhagam,DMK,INDIA/SPA,Rising sun
5,Poonamallee,Tiruvallur,SC,2.0,MEKALA.J,Naam Tamilar Katchi,NTK,Solo,Farmer Carrying Plough
5,Poonamallee,Tiruvallur,SC,3.0,RAJASEKARAN.K,Bahujan Samaj Party,BSP,Solo,Elephant
5,Poonamallee,Tiruvallur,SC,4.0,ELUMALAI.T.A,Amma Makkal Munnettra Kazagam,AMMK,NDA,Pressure cooker
5,Poonamallee,Tiruvallur,SC,5.0,PRAKASAM.R,Tamilaga Vettri Kazhagam,TVK,Solo,Whistle
5,Poonamallee,Tiruvallur,SC,6.0,SIVAKUMAR.S,Independent,IND,Independent,Belt
5,Poonamallee,Tiruvallur,SC,7.0,DHASARATHAN.R,Independent,IND,Independent,Box
5,Poonamallee,Tiruvallur,SC,8.0,PURUSHOTHAMAN.B,Independent,IND,Independent,Saw
5,Poonamallee,Tiruvallur,SC,9.0,RAVIKUMAR.M,Independent,IND,Independent,Diamond
5,Poonamallee,Tiruvallur,SC,10.0,VELU.S,Independent,IND,Independent,Batsman
5,Poonamallee,Tiruvallur,SC,11.0,DR.JAYANTHI.R,Independent,IND,Independent,Swing
6,Avadi,Tiruvallur,GEN,1.0,S. CHARLES,Bahujan Samaj Party,BSP,Solo,Elephant
6,Avadi,Tiruvallur,GEN,2.0,S.M.NASAR,Dravida Munnetra Kazhagam,DMK,INDIA/SPA,Rising sun
6,Avadi,Tiruvallur,GEN,3.0,PUNITHA SHANMUGAM,Naam Tamilar Katchi,NTK,Solo,Farmer Carrying Plough
6,Avadi,Tiruvallur,GEN,4.0,RAJASIMHA MAHENDRA,Bharatiya Janata Party,BJP,NDA,Lotus
6,Avadi,Tiruvallur,GEN,5.0,R.EDMUND JAYENDREN,Tamizhaga Vaazhvurimai Katchi,TVaK,-,Camera
6,Avadi,Tiruvallur,GEN,6.0,C.S. KARNAN,Anti Corruption Dynamic Party,ACDP,-,Truck
6,Avadi,Tiruvallur,GEN,7.0,SENTHILKUMAR. S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,AMMK,NDA,Jackfruit
6,Avadi,Tiruvallur,GEN,8.0,R. BAKTHAVATCHALAM,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,AIPTMK,-,Coconut farm
6,Avadi,Tiruvallur,GEN,9.0,R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,TVK,Solo,Whistle
6,Avadi,Tiruvallur,GEN,10.0,P.JAYAKUMAR,Samaniya Makkal Nala Katchi,SMNK,-,Walking stick
6,Avadi,Tiruvallur,GEN,11.0,K. ANNAMALAI,Independent,IND,Independent,Refrigerator
6,Avadi,Tiruvallur,GEN,12.0,G.D. ARUNKUMAR,Independent,IND,Independent,Gramophone
6,Avadi,Tiruvallur,GEN,13.0,M. ERAJASIMMAN,Independent,IND,Independent,Cauliflower
6,Avadi,Tiruvallur,GEN,14.0,R. KUMAR,Independent,IND,Independent,Pen nib with seven rays
6,Avadi,Tiruvallur,GEN,15.0,S. SENTHILKUMAR,Independent,IND,Independent,Fountain
6,Avadi,Tiruvallur,GEN,16.0,P. CHELLAPANDIAN,Independent,IND,Independent,Gas cylinder
6,Avadi,Tiruvallur,GEN,17.0,K. BALAKRISHNAN,Independent,IND,Independent,Lady finger
6,Avadi,Tiruvallur,GEN,18.0,R. MANIKANDAN,Independent,IND,Independent,Envelope
