District No.,District Name,AC No.,Name of Assembly Constituency,Male,Female,Third Gender,Total Electors,Total_Candidates,AC_Name_Match,AC_No,AC_Name,Male_Electors,Female_Electors,TG_Electors,Total_Electors,Overseas_Electors,Service_Electors,Male_Voted,Female_Voted,TG_Voted,Postal_Voted,Test_Votes,Total_Voted,Overseas_Voted,Poll_Pct,Rejected_Postal,Rejected_EVM,NOTA_Votes,Valid_Votes,Tendered_Votes,Female_Turnout_Pct,Male_Turnout_Pct,Gender_Gap
1,Thiruvallur,1,Gummidipoondi,122195.0,129372.0,36.0,251603.0,15.0,GUMMIDIPOONDI,1,GUMMIDIPOONDI,123403.0,130736.0,36.0,254175.0,5.0,46.0,112919.0,117961.0,20.0,1730.0,0.0,232630.0,0.0,91.52,108.0,0.0,937.0,231585.0,0.0,91.17969885292028,92.4088546994558,-1.23
1,Thiruvallur,2,Ponneri,121221.0,127662.0,34.0,248917.0,15.0,PONNERI,2,PONNERI (SC),122315.0,129071.0,35.0,251421.0,11.0,24.0,111156.0,114495.0,25.0,1197.0,0.0,226873.0,0.0,90.24,54.0,0.0,865.0,225954.0,0.0,89.68604596512667,91.69698319598088,-2.01
1,Thiruvallur,3,Tiruttani,128642.0,131417.0,25.0,260084.0,,TIRUTTANI,3,TIRUTTANI,130026.0,132449.0,25.0,262500.0,2.0,643.0,116310.0,119297.0,13.0,3831.0,0.0,239451.0,0.0,91.22,653.0,0.0,1210.0,237588.0,0.0,90.77744888408654,90.41370625456692,0.36
1,Thiruvallur,4,Thiruvallur,121188.0,127426.0,37.0,248651.0,,THIRUVALLUR,4,THIRUVALLUR,122289.0,128786.0,36.0,251111.0,8.0,93.0,110302.0,114331.0,16.0,2139.0,0.0,226788.0,0.0,90.31,360.0,0.0,1132.0,225296.0,0.0,89.72344733413902,91.0172624352246,-1.29
1,Thiruvallur,5,Poonamallee,176849.0,186769.0,70.0,363688.0,,POONAMALLEE,5,POONAMALLEE (SC),179193.0,189432.0,69.0,368694.0,28.0,60.0,150326.0,156720.0,34.0,1939.0,0.0,309019.0,0.0,83.81,125.0,0.0,1571.0,307323.0,0.0,83.91114157060326,85.00245972552855,-1.09
1,Thiruvallur,6,Avadi,209662.0,219035.0,75.0,428772.0,,AVADI,6,AVADI,213438.0,223008.0,76.0,436522.0,33.0,345.0,167997.0,175491.0,22.0,2848.0,0.0,346358.0,0.0,79.34,353.0,0.0,1533.0,344472.0,0.0,80.12007213459036,80.12753860976238,-0.01
1,Thiruvallur,7,Maduravoyal,179602.0,184349.0,80.0,364031.0,,MADURAVOYAL,7,MADURAVOYAL,183998.0,189242.0,81.0,373321.0,80.0,38.0,144069.0,148424.0,17.0,1660.0,0.0,294170.0,0.0,78.8,478.0,0.0,1462.0,292230.0,7.0,80.51250617036165,80.21569915702497,0.3
1,Thiruvallur,8,Ambattur,162248.0,168175.0,57.0,330480.0,,AMBATTUR,8,AMBATTUR,165415.0,171608.0,58.0,337081.0,76.0,62.0,127983.0,130997.0,11.0,1684.0,0.0,260675.0,0.0,77.33,689.0,0.0,1490.0,258496.0,0.0,77.89326594321392,78.88109560672551,-0.99
1,Thiruvallur,9,Madavaram,205922.0,214596.0,83.0,420601.0,,MADAVARAM,9,MADAVARAM,211303.0,220482.0,81.0,431866.0,40.0,70.0,177376.0,182737.0,33.0,2103.0,0.0,362249.0,0.0,83.88,251.0,0.0,1394.0,360604.0,0.0,85.15396372718969,86.13746952729674,-0.98
1,Thiruvallur,10,Thiruvottiyur,117181.0,123289.0,116.0,240586.0,,THIRUVOTTIYUR,10,THIRUVOTTIYUR,119231.0,125579.0,121.0,244931.0,7.0,28.0,100451.0,105848.0,76.0,792.0,0.0,207167.0,0.0,84.58,79.0,0.0,805.0,206283.0,0.0,85.85356357825921,85.72294143248479,0.13
2,Chennai,11,Dr.Radhakrishnan Nagar,93576.0,102201.0,79.0,195856.0,,DR.RADHAKRISHNAN NAGAR,11,DR.RADHAKRISHNAN NAGAR,95281.0,104017.0,96.0,199394.0,12.0,35.0,86109.0,94370.0,51.0,818.0,0.0,181348.0,0.0,90.95,138.0,0.0,565.0,180645.0,3.0,92.3376483596051,92.02038984354962,0.32
