Code,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% Votes,Round,Last Updated Time,Last Updated Date,AC_No,AC_Name,Alliance,Rank,Seat_Total,Vote_Share_Pct
S221,GUMMIDIPOONDI - 1,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,93820,500,94320,40.56,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Solo,1,232522,40.563903630624196
S221,GUMMIDIPOONDI - 1,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,65894,481,66375,28.55,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,NDA,2,232522,28.545685999604338
S221,GUMMIDIPOONDI - 1,T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,61922,570,62492,26.88,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,INDIA/SPA,3,232522,26.87573648945046
S221,GUMMIDIPOONDI - 1,"R.SRIDAR. B.L.,",Naam Tamilar Katchi,4707,49,4756,2.05,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Solo,4,232522,2.04539785482664
S221,GUMMIDIPOONDI - 1,NOTA,None of the Above,931,6,937,0.4,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,NOTA/Unaligned,5,232522,0.4029726219454503
S221,GUMMIDIPOONDI - 1,M.JAGADEESAN,Bahujan Samaj Party,695,2,697,0.3,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Solo,6,232522,0.29975658217286966
S221,GUMMIDIPOONDI - 1,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,593,6,599,0.26,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,-,7,232522,0.2576100325990659
S221,GUMMIDIPOONDI - 1,G.RANJITH B.SC.L.L.B,Independent,502,1,503,0.22,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Independent,8,232522,0.21632361669003364
S221,GUMMIDIPOONDI - 1,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,335,1,336,0.14,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,-,9,232522,0.14450245568161293
S221,GUMMIDIPOONDI - 1,D.SUDHAKAR,Independent,319,2,321,0.14,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Independent,10,232522,0.13805145319582662
S221,GUMMIDIPOONDI - 1,M.KUMARAN,Independent,260,0,260,0.11,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Independent,11,232522,0.11181737642029571
S221,GUMMIDIPOONDI - 1,D.DINESH,Independent,222,0,222,0.1,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Independent,12,232522,0.09547483678963711
S221,GUMMIDIPOONDI - 1,V.SUDHAKAR,Independent,217,0,217,0.09,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Independent,13,232522,0.09332450262770835
S221,GUMMIDIPOONDI - 1,T.GOVINDAN,Independent,205,1,206,0.09,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Independent,14,232522,0.08859376747146507
S221,GUMMIDIPOONDI - 1,GOPAL.K,Independent,174,3,177,0.08,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Independent,15,232522,0.07612182933227823
S221,GUMMIDIPOONDI - 1,A.H. SIVA GANESH,Independent,104,0,104,0.04,26/26,11:27 PM,04/05/2026,1,GUMMIDIPOONDI,Independent,16,232522,0.04472695056811828
S222,PONNERI - 2,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,110051,388,110439,48.69,26/26,11:30 PM,04/05/2026,2,PONNERI,Solo,1,226819,48.690365445575544
S222,PONNERI - 2,DURAI CHANDRASEKAR,Indian National Congress,54301,370,54671,24.1,26/26,11:30 PM,04/05/2026,2,PONNERI,INDIA/SPA,2,226819,24.103359947799788
S222,PONNERI - 2,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,51160,308,51468,22.69,26/26,11:30 PM,04/05/2026,2,PONNERI,NDA,3,226819,22.691220753111512
S222,PONNERI - 2,RAJATHI.M,Naam Tamilar Katchi,6633,43,6676,2.94,26/26,11:30 PM,04/05/2026,2,PONNERI,Solo,4,226819,2.943316036134539
S222,PONNERI - 2,NOTA,None of the Above,859,6,865,0.38,26/26,11:30 PM,04/05/2026,2,PONNERI,NOTA/Unaligned,5,226819,0.3813613497987382
S222,PONNERI - 2,SANTHOSHKUMAR.J,Bahujan Samaj Party,611,4,615,0.27,26/26,11:30 PM,04/05/2026,2,PONNERI,Solo,6,226819,0.2711413065043052
S222,PONNERI - 2,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,371,0,371,0.16,26/26,11:30 PM,04/05/2026,2,PONNERI,-,7,226819,0.16356654424893857
S222,PONNERI - 2,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,360,6,366,0.16,26/26,11:30 PM,04/05/2026,2,PONNERI,-,8,226819,0.1613621433830499
S222,PONNERI - 2,RAJA.S,Vanchit Bahujan Aaghadi,295,4,299,0.13,26/26,11:30 PM,04/05/2026,2,PONNERI,-,9,226819,0.13182317178014188
S222,PONNERI - 2,RAJASEKAR.J,Independent,288,1,289,0.13,26/26,11:30 PM,04/05/2026,2,PONNERI,Independent,10,226819,0.12741437004836456
S222,PONNERI - 2,NAGAIYAN.G,Independent,227,5,232,0.1,26/26,11:30 PM,04/05/2026,2,PONNERI,Independent,11,226819,0.10228420017723383
S222,PONNERI - 2,VENKATESAN.S,Independent,202,1,203,0.09,26/26,11:30 PM,04/05/2026,2,PONNERI,Independent,12,226819,0.0894986751550796
