AC_No,AC_Name,Winner_Party_2026_FullName,Alliance,Winner_ShortCode_2026,AC_Name_2021,Winner_Party_2021,Winner_Votes_2021,Winner_ShortCode_2021,Seat_Flipped
1,GUMMIDIPOONDI,Tamilaga Vettri Kazhagam,Solo,TVK,Gummidipoondi,DMK,126452.0,DMK,True
2,PONNERI,Tamilaga Vettri Kazhagam,Solo,TVK,Ponneri,INC,94528.0,INC,True
3,TIRUTTANI,All India Anna Dravida Munnetra Kazhagam,NDA,AIADMK,Tiruttani,DMK,120314.0,DMK,True
4,THIRUVALLUR,Tamilaga Vettri Kazhagam,Solo,TVK,Thiruvallur,DMK,107709.0,DMK,True
5,POONAMALLEE,Tamilaga Vettri Kazhagam,Solo,TVK,Poonamallee,DMK,149578.0,DMK,True
6,AVADI,Tamilaga Vettri Kazhagam,Solo,TVK,Avadi,DMK,150287.0,DMK,True
7,MADURAVOYAL,Tamilaga Vettri Kazhagam,Solo,TVK,Maduravoyal,DMK,121298.0,DMK,True
8,AMBATTUR,Tamilaga Vettri Kazhagam,Solo,TVK,Ambattur,DMK,114554.0,DMK,True
9,MADAVARAM,Tamilaga Vettri Kazhagam,Solo,TVK,Madavaram,DMK,151485.0,DMK,True
10,THIRUVOTTIYUR,Tamilaga Vettri Kazhagam,Solo,TVK,Thiruvottiyur,DMK,88185.0,DMK,True
11,DR.RADHAKRISHNAN NAGAR,Tamilaga Vettri Kazhagam,Solo,TVK,Dr.Radhakrishnan Nagar,DMK,95763.0,DMK,True
12,PERAMBUR,Tamilaga Vettri Kazhagam,Solo,TVK,Perambur,DMK,105267.0,DMK,True
13,KOLATHUR,Tamilaga Vettri Kazhagam,Solo,TVK,Kolathur,DMK,105522.0,DMK,True
14,VILLIVAKKAM,Tamilaga Vettri Kazhagam,Solo,TVK,Villivakkam,DMK,76127.0,DMK,True
15,THIRU-VI-KA-NAGAR,Tamilaga Vettri Kazhagam,Solo,TVK,Thiru-Vi-Ka-Nagar,DMK,81727.0,DMK,True
16,EGMORE,Tamilaga Vettri Kazhagam,Solo,TVK,Egmore,DMK,68832.0,DMK,True
17,ROYAPURAM,Tamilaga Vettri Kazhagam,Solo,TVK,Royapuram,DMK,64424.0,DMK,True
18,HARBOUR,Dravida Munnetra Kazhagam,INDIA/SPA,DMK,Harbour,DMK,59317.0,DMK,False
