AC_No,AC_Name,Male_Electors,Female_Electors,TG_Electors,Total_Electors,Overseas_Electors,Service_Electors,Male_Voted,Female_Voted,TG_Voted,Postal_Voted,Test_Votes,Total_Voted,Overseas_Voted,Poll_Pct,Rejected_Postal,Rejected_EVM,NOTA_Votes,Valid_Votes,Tendered_Votes
1,GUMMIDIPOONDI,123403.0,130736.0,36.0,254175.0,5.0,46.0,112919.0,117961.0,20.0,1730.0,0.0,232630.0,0.0,91.52,108.0,0.0,937.0,231585.0,0.0
2,PONNERI (SC),122315.0,129071.0,35.0,251421.0,11.0,24.0,111156.0,114495.0,25.0,1197.0,0.0,226873.0,0.0,90.24,54.0,0.0,865.0,225954.0,0.0
3,TIRUTTANI,130026.0,132449.0,25.0,262500.0,2.0,643.0,116310.0,119297.0,13.0,3831.0,0.0,239451.0,0.0,91.22,653.0,0.0,1210.0,237588.0,0.0
4,THIRUVALLUR,122289.0,128786.0,36.0,251111.0,8.0,93.0,110302.0,114331.0,16.0,2139.0,0.0,226788.0,0.0,90.31,360.0,0.0,1132.0,225296.0,0.0
5,POONAMALLEE (SC),179193.0,189432.0,69.0,368694.0,28.0,60.0,150326.0,156720.0,34.0,1939.0,0.0,309019.0,0.0,83.81,125.0,0.0,1571.0,307323.0,0.0
6,AVADI,213438.0,223008.0,76.0,436522.0,33.0,345.0,167997.0,175491.0,22.0,2848.0,0.0,346358.0,0.0,79.34,353.0,0.0,1533.0,344472.0,0.0
7,MADURAVOYAL,183998.0,189242.0,81.0,373321.0,80.0,38.0,144069.0,148424.0,17.0,1660.0,0.0,294170.0,0.0,78.8,478.0,0.0,1462.0,292230.0,7.0
8,AMBATTUR,165415.0,171608.0,58.0,337081.0,76.0,62.0,127983.0,130997.0,11.0,1684.0,0.0,260675.0,0.0,77.33,689.0,0.0,1490.0,258496.0,0.0
9,MADAVARAM,211303.0,220482.0,81.0,431866.0,40.0,70.0,177376.0,182737.0,33.0,2103.0,0.0,362249.0,0.0,83.88,251.0,0.0,1394.0,360604.0,0.0
10,THIRUVOTTIYUR,119231.0,125579.0,121.0,244931.0,7.0,28.0,100451.0,105848.0,76.0,792.0,0.0,207167.0,0.0,84.58,79.0,0.0,805.0,206283.0,0.0
11,DR.RADHAKRISHNAN NAGAR,95281.0,104017.0,96.0,199394.0,12.0,35.0,86109.0,94370.0,51.0,818.0,0.0,181348.0,0.0,90.95,138.0,0.0,565.0,180645.0,3.0
12,PERAMBUR,109732.0,116540.0,73.0,226345.0,7.0,49.0,98471.0,104560.0,41.0,1547.0,0.0,204619.0,0.0,90.4,235.0,0.0,601.0,203783.0,9.0
13,KOLATHUR,101844.0,109953.0,36.0,211833.0,44.0,61.0,88089.0,94284.0,20.0,1891.0,0.0,184284.0,1.0,86.99,233.0,0.0,892.0,183159.0,11.0
14,VILLIVAKKAM,78710.0,84673.0,33.0,163416.0,59.0,44.0,68004.0,72498.0,17.0,1131.0,0.0,141650.0,0.0,86.68,198.0,0.0,695.0,140757.0,11.0
15,THIRU-VI-KA-NAGAR (SC),87116.0,94479.0,63.0,181658.0,15.0,37.0,69165.0,73655.0,43.0,1077.0,0.0,143940.0,0.0,79.24,37.0,0.0,527.0,143376.0,11.0
16,EGMORE (SC),67560.0,71179.0,57.0,138796.0,40.0,21.0,58050.0,60635.0,41.0,1189.0,0.0,119915.0,0.0,86.4,177.0,0.0,695.0,119043.0,11.0
