Name,Age,Party,Constituency,Designation,Portfolios,Rank_Order,AC_Name_Match
C. Joseph Vijay,52,TVK,Perambur,Chief Minister,General Administration; Home; Police; Public Service Commissions; Special Programme Implementation; Poverty Alleviation & Rural Indebtedness; Youth Welfare; Welfare of Differently Abled; Municipal Administration; Urban & Water Supply,1,PERAMBUR
N. Anand,62,TVK,T Nagar,Minister for Rural Development & Water Resources,Rural Development; Panchayats & Panchayat Union; Irrigation; Irrigation Projects including Small Irrigation,2,THIYAGARAYANAGAR
Aadhav Arjuna,43,TVK,Villivakkam,Minister for Public Works & Sports Development,"Public Works (PWD); Buildings, Highways & Ports; Sports Development",3,VILLIVAKKAM
K. G. Arunraj,46,TVK,Tiruchengodu,Minister for Health & Family Welfare,Health; Medical Education; Family Welfare,4,TIRUCHENGODU
K. A. Sengottaiyan,78,TVK,Gobichettipalayam,Minister for Revenue & Disaster Management,Revenue; District Revenue Establishment; Deputy Collectors; Disaster Management; Boodhan & Gramadhan; Legislative Assembly,5,GOBICHETTIPALAYAM
P. Venkataramanan,48,TVK,Mylapore,Minister for Food & Consumer Protection,Food & Civil Supplies; Consumer Protection; Price Control,6,MYLAPORE
C. T. R. Nirmal Kumar,44,TVK,Thiruparankundram,Minister for Energy Resources & Law,"Electricity & Non-Conventional Energy Development; Law, Courts & Prisons; Prevention of Corruption; Governor, Elections & Passports",7,THIRUPARANKUNDRAM
Rajmohan Arumugam,39,TVK,Egmore,Minister for School Education & Tamil Development,School Education; Tamil Development & Culture; Information & Publicity; Archaeology; Film Technology,8,EGMORE
T. K. Prabhu,41,TVK,Karaikudi,Minister for Natural Resources,Natural Resources; Minerals & Mines,9,KARAIKUDI
S. Keerthana,30,TVK,Sivakasi,Minister for Industries & Investment Promotion,Industries; Investment Promotion,10,SIVAKASI
P. Viswanathan,61,INC,Melur,Minister for Higher Education,Higher Education; Technical Education; Electronics; Science & Technology,11,MELUR
Rajesh Kumar. S,51,INC,Killiyoor,Minister for Tourism,Tourism; Tourism Development Corporation,12,KILLIYOOR
A.M. Shahjahan,57,IUML,Papanasam,Minister for Minorities Welfare,Minorities Welfare; Wakf Board,13,PAPANASAM
Vanni Arasu,55,VCK,Tindivanam,Minister for Social Justice,Adi Dravidar Welfare; Hill Tribes,14,TINDIVANAM
Vijay Tamilan Parthiban. A,50,TVK,Salem South,Minister for Transport,Motor Vehicle Acts - Administration; Transport & Nationalised Transport; Motor Vehicles Act,15,SALEM (SOUTH)
B. Rajkumar,46,TVK,Cuddalore,Minister for Housing & Urban Development,Housing & Rural Housing; Town Planning Projects & Housing Development; Accommodation Control; CMDA; Tamil Nadu Urban Habitat Development Board; Urban Planning & Urban Development,16,CUDDALORE
V. Sampath Kumar,47,TVK,Coimbatore North,Minister for Backward Classes Welfare,Backward Classes Welfare; Most Backward Classes Welfare; De-notified Communities Welfare,17,COIMBATORE (NORTH)
M. Vijay Balaji,39,TVK,Erode East,Minister for Handlooms Textiles & Khadi,Handlooms & Textiles; Khadi & Village Industries Board,18,ERODE (EAST)
Vignesh K,38,TVK,Kinathukadavu,Minister for Prohibition & Excise,Prohibition & Excise,19,KINATHUKADAVU
Thennarasu. K,36,TVK,Sriperumbudur,Minister for Non-Resident Tamils Welfare,Non-Resident Tamils Welfare; Refugees & Evacuees,20,SRIPERUMBUDUR
