AC_No,AC_Name,District,Reserved,Sl_No,Candidate_Name,Party_Full,Party_Short,Alliance,Symbol
,,,,,,,,,
1,Gummidipoondi,Tiruvallur,GEN,1,T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,DMK,INDIA/SPA,Rising sun
1,Gummidipoondi,Tiruvallur,GEN,2,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,AIADMK,NDA,Two leaves
1,Gummidipoondi,Tiruvallur,GEN,3,M.JAGADEESAN,Bahujan Samaj Party,BSP,Solo,Elephant
1,Gummidipoondi,Tiruvallur,GEN,4,R.SRIDAR. B.L.,Naam Tamilar Katchi,NTK,Solo,Farmer Carrying Plough
1,Gummidipoondi,Tiruvallur,GEN,5,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,AJPK,-,Gas cylinder
1,Gummidipoondi,Tiruvallur,GEN,6,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,VTVTK,-,Pestle and mortar
1,Gummidipoondi,Tiruvallur,GEN,7,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,TVK,Solo,Whistle
1,Gummidipoondi,Tiruvallur,GEN,8,M.KUMARAN,Independent,IND,Independent,Diamond
1,Gummidipoondi,Tiruvallur,GEN,9,GOPAL.K,Independent,IND,Independent,Letter box
1,Gummidipoondi,Tiruvallur,GEN,10,T.GOVINDAN,Independent,IND,Independent,Ship
1,Gummidipoondi,Tiruvallur,GEN,11,A.H. SIVA GANESH,Independent,IND,Independent,Batsman
1,Gummidipoondi,Tiruvallur,GEN,12,D.SUDHAKAR,Independent,IND,Independent,Peas
1,Gummidipoondi,Tiruvallur,GEN,13,V.SUDHAKAR,Independent,IND,Independent,Water melon
1,Gummidipoondi,Tiruvallur,GEN,14,D.DINESH,Independent,IND,Independent,Road roller
1,Gummidipoondi,Tiruvallur,GEN,15,G.RANJITH B.SC.L.L.B,Independent,IND,Independent,Crane
2,Ponneri,Tiruvallur,SC,1,DURAI CHANDRASEKAR,Indian National Congress,INC,INDIA/SPA,Hand
2,Ponneri,Tiruvallur,SC,2,SANTHOSHKUMAR.J,Bahujan Samaj Party,BSP,Solo,Elephant
2,Ponneri,Tiruvallur,SC,3,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,AIADMK,NDA,Two leaves
2,Ponneri,Tiruvallur,SC,4,RAJATHI.M,Naam Tamilar Katchi,NTK,Solo,Farmer Carrying Plough
2,Ponneri,Tiruvallur,SC,5,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,DMSK,-,Football player
2,Ponneri,Tiruvallur,SC,6,RAJA.S,Vanchit Bahujan Aaghadi,VBA,-,Gas cylinder
2,Ponneri,Tiruvallur,SC,7,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,TVaK,-,Camera
2,Ponneri,Tiruvallur,SC,8,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,TMMK,-,Matchbox
2,Ponneri,Tiruvallur,SC,9,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,TVK,Solo,Whistle
2,Ponneri,Tiruvallur,SC,10,NAGAIYAN.G,Independent,IND,Independent,Batsman
2,Ponneri,Tiruvallur,SC,11,BARATHIRAJA.K,Independent,IND,Independent,Brush
2,Ponneri,Tiruvallur,SC,12,RAJASEKAR.J,Independent,IND,Independent,Pen drive
2,Ponneri,Tiruvallur,SC,13,VENKATESAN.S,Independent,IND,Independent,Water melon
3,Tiruttani,Tiruvallur,GEN,1,G.HARI,All India Anna Dravida Munnetra Kazhagam,AIADMK,NDA,Two leaves
3,Tiruttani,Tiruvallur,GEN,2,D.KRISHNAMURTHY,Desiya Murpokku Dravida Kazhagam,DMDK,INDIA/SPA,Nagara
3,Tiruttani,Tiruvallur,GEN,3,CHANDRAN .S.S,Naam Tamilar Katchi,NTK,Solo,Farmer Carrying Plough
3,Tiruttani,Tiruvallur,GEN,4,MUTHURAJ.G,Bahujan Samaj Party,BSP,Solo,Elephant
3,Tiruttani,Tiruvallur,GEN,5,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,TVK,Solo,Whistle
3,Tiruttani,Tiruvallur,GEN,6,BALAJI.A,Thakkam Katchi,TK,-,Matchbox
3,Tiruttani,Tiruvallur,GEN,7,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,TVaK,-,Camera
3,Tiruttani,Tiruvallur,GEN,8,KRISHNAMOORTHY.K,Independent,IND,Independent,Diamond
3,Tiruttani,Tiruvallur,GEN,9,KRISHNAMOORTHY.D,Independent,IND,Independent,Pestle and mortar
3,Tiruttani,Tiruvallur,GEN,10,KRISHNAMOORTHY.M,Independent,IND,Independent,Noodles bowl
3,Tiruttani,Tiruvallur,GEN,11,SHETTU.S,Independent,IND,Independent,Gas cylinder
3,Tiruttani,Tiruvallur,GEN,12,DR.A.V.NARENDRAN,Independent,IND,Independent,Bangles
3,Tiruttani,Tiruvallur,GEN,13,JAMBU.B,Independent,IND,Independent,Bucket
4,Thiruvallur,Tiruvallur,GEN,1,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,DMK,INDIA/SPA,Rising sun
4,Thiruvallur,Tiruvallur,GEN,2,K. SENTHILKUMAR,Naam Tamilar Katchi,NTK,Solo,Farmer Carrying Plough
4,Thiruvallur,Tiruvallur,GEN,3,BE VEE RAMANAH,All India Anna Dravida Munnetra Kazhagam,AIADMK,NDA,Two leaves
4,Thiruvallur,Tiruvallur,GEN,4,B. RAJESH KUMAR,Bahujan Samaj Party,BSP,Solo,Elephant
